date,time,direction,entry_price,stop_loss,take_profit,exit_price,pnl,result,balance
2026-03-20,11:20,short,24080.45,24080.45,24040.45,24080.45,-8.02,BREAKEVEN,7120.79
2026-03-20,11:40,short,24103.6,24103.6,24063.6,24103.6,-8.01,BREAKEVEN,7112.78
2026-03-23,09:35,long,24351.5,24331.5,24391.5,24331.5,-114.69,LOSS,6998.08
2026-03-23,09:45,long,24387.4,24367.4,24427.4,24367.4,-112.84,LOSS,6885.24
2026-03-23,10:50,long,24414.9,24414.9,24454.9,24414.9,-7.75,BREAKEVEN,6877.49
2026-03-24,09:35,short,24020.45,24020.45,23980.45,23980.45,198.59,WIN,7076.08
2026-03-24,10:10,short,24039.5,24039.5,23999.5,24039.5,-7.96,BREAKEVEN,7068.12
2026-03-24,10:30,short,24049.6,24049.6,24009.6,24009.6,204.09,WIN,7272.21
2026-03-24,10:45,short,24037.5,24057.5,23997.5,24057.5,-117.26,LOSS,7154.95
2026-03-24,12:15,long,24149.75,24129.75,24189.75,24129.75,-115.37,LOSS,7039.57
2026-03-25,09:50,short,24183.5,24203.5,24143.5,24203.5,-113.51,LOSS,6926.06
2026-03-25,11:35,short,24193.25,24193.25,24153.25,24193.25,-7.79,BREAKEVEN,6918.27
2026-03-26,09:05,short,23941.3,23961.3,23901.3,23961.3,-111.56,LOSS,6806.71
2026-03-26,11:55,short,23915.8,23915.8,23875.8,23875.8,196.54,WIN,7003.26
2026-03-27,09:30,short,23392.65,23412.65,23352.65,23412.65,-112.93,LOSS,6890.33
2026-03-27,09:45,short,23443.65,23443.65,23403.65,23403.65,198.96,WIN,7089.29
2026-03-27,09:55,short,23308.6,23328.6,23268.6,23328.6,-114.31,LOSS,6974.97
2026-03-27,10:55,short,23339.4,23359.4,23299.4,23359.4,-112.47,LOSS,6862.5
2026-03-27,11:05,short,23343.5,23343.5,23303.5,23303.5,198.15,WIN,7060.65
2026-03-27,12:50,short,23309.4,23329.4,23269.4,23301.9,31.77,FORCED_CLOSE,7092.43
2026-03-30,09:05,long,23290.75,23290.75,23330.75,23330.75,204.79,WIN,7297.22
2026-03-30,10:10,long,23337.25,23317.25,23377.25,23317.25,-117.67,LOSS,7179.55
2026-03-30,12:05,short,23177.9,23177.9,23137.9,23137.9,207.31,WIN,7386.86
2026-03-31,09:15,long,23216.3,23196.3,23256.3,23196.3,-119.11,LOSS,7267.75
2026-03-31,09:25,long,23235.75,23235.75,23275.75,23235.75,-8.18,BREAKEVEN,7259.57
2026-03-31,10:05,long,23222.05,23222.05,23262.05,23262.05,209.62,WIN,7469.19
